grammar_ref,syntactic_category,rule word,synonym
6,JJ,drama,play
6,JJ,drama,dramatic_play
6,JJ,drama,dramatic_event
6,JJ,classic,authoritative
6,JJ,classic,classical
6,JJ,classic,definitive
6,JJ,classic,classical
6,JJ,classic,classical
6,JJ,classic,greco-roman
6,JJ,classic,graeco-roman
6,JJ,classic,hellenic
12,N,flicks,flick
12,N,flicks,flick
12,N,flicks,movie
12,N,flicks,film
12,N,flicks,picture
12,N,flicks,moving_picture
12,N,flicks,moving-picture_show
12,N,flicks,motion_picture
12,N,flicks,motion-picture_show
12,N,flicks,picture_show
12,N,flicks,pic
12,N,flicks,flick
12,N,flicks,flicker
12,N,flicks,flick
12,N,flicks,flick
12,N,flicks,flip
12,N,flicks,thumb
12,N,flicks,riffle
12,N,flicks,leaf
12,N,flicks,riff
12,N,flicks,flip
12,N,flicks,flick
12,N,flicks,jerk
12,N,flicks,flick
12,N,flicks,flicker
12,N,flicks,flick
12,N,flicks,flick
12,N,flicks,ruffle
12,N,flicks,riffle
12,N,flicks,snap
12,N,flicks,click
12,N,flicks,flick
12,N,flicks,flick
12,N,flicks,flick
5,V,rated,rate
5,V,rated,rank
5,V,rated,range
5,V,rated,order
5,V,rated,grade
5,V,rated,place
5,V,rated,rate
5,V,rated,rate
5,V,rated,value
5,V,rated,rat
5,V,rated,rat
5,V,rated,fink
5,V,rated,scab
5,V,rated,rat
5,V,rated,blackleg
5,V,rated,rat
5,V,rated,rat
5,V,rated,denounce
5,V,rated,tell_on
5,V,rated,betray
5,V,rated,give_away
5,V,rated,rat
5,V,rated,grass
5,V,rated,shit
5,V,rated,shop
5,V,rated,snitch
5,V,rated,stag
11,N,new,fresh
11,N,new,novel
11,N,new,raw
11,N,new,unexampled
11,N,new,newfangled
11,N,new,new
11,N,new,modern
11,N,new,new
11,N,new,young
11,N,new,newly
11,N,new,freshly
11,N,new,fresh
3,N,actors,actor
3,N,actors,histrion
3,N,actors,player
3,N,actors,thespian
3,N,actors,role_player
3,N,actors,actor
3,N,actors,doer
3,N,actors,worker
4,V,classified,classified_ad
4,V,classified,classified_advertisement
4,V,classified,classify
4,V,classified,class
4,V,classified,sort
4,V,classified,assort
4,V,classified,sort_out
4,V,classified,separate
4,V,classified,classify
4,V,classified,relegate
4,V,classified,classify
6,JJ,children,child
6,JJ,children,kid
6,JJ,children,youngster
6,JJ,children,minor
6,JJ,children,shaver
6,JJ,children,nipper
6,JJ,children,small_fry
6,JJ,children,tiddler
6,JJ,children,tike
6,JJ,children,tyke
6,JJ,children,fry
6,JJ,children,nestling
6,JJ,children,child
6,JJ,children,kid
6,JJ,children,child
6,JJ,children,baby
6,JJ,children,child
12,N,comedy,drollery
12,N,comedy,clowning
12,N,comedy,funniness
12,V,display,show
12,V,display,exhibit
12,V,display,showing
12,V,display,presentation
12,V,display,video_display
12,V,display,expose
12,V,display,exhibit
5,N,films,movie
5,N,films,film
5,N,films,picture
5,N,films,moving_picture
5,N,films,moving-picture_show
5,N,films,motion_picture
5,N,films,motion-picture_show
5,N,films,picture_show
5,N,films,pic
5,N,films,flick
5,N,films,film
5,N,films,cinema
5,N,films,celluloid
5,N,films,film
5,N,films,photographic_film
5,N,films,film
5,N,films,film
5,N,films,plastic_film
5,N,films,film
5,N,films,shoot
5,N,films,take
5,N,films,film
12,N,international,international
12,N,international,external
12,N,international,outside
12,N,films,movie
12,N,films,film
12,N,films,picture
12,N,films,moving_picture
12,N,films,moving-picture_show
12,N,films,motion_picture
12,N,films,motion-picture_show
12,N,films,picture_show
12,N,films,pic
12,N,films,flick
12,N,films,film
12,N,films,cinema
12,N,films,celluloid
12,N,films,film
12,N,films,photographic_film
12,N,films,film
12,N,films,film
12,N,films,plastic_film
12,N,films,film
12,N,films,shoot
12,N,films,take
12,N,films,film
4,V,give,spring
4,V,give,springiness
4,V,give,yield
4,V,give,afford
4,V,give,pay
4,V,give,hold
4,V,give,throw
4,V,give,have
4,V,give,make
4,V,give,throw
4,V,give,gift
4,V,give,present
4,V,give,yield
4,V,give,pay
4,V,give,devote
4,V,give,render
4,V,give,yield
4,V,give,return
4,V,give,generate
4,V,give,impart
4,V,give,leave
4,V,give,pass_on
4,V,give,establish
4,V,give,sacrifice
4,V,give,pass
4,V,give,hand
4,V,give,reach
4,V,give,pass_on
4,V,give,turn_over
4,V,give,dedicate
4,V,give,consecrate
4,V,give,commit
4,V,give,devote
4,V,give,apply
4,V,give,render
4,V,give,grant
4,V,give,move_over
4,V,give,give_way
4,V,give,ease_up
4,V,give,yield
4,V,give,feed
4,V,give,contribute
4,V,give,chip_in
4,V,give,kick_in
4,V,give,collapse
4,V,give,fall_in
4,V,give,cave_in
4,V,give,give_way
4,V,give,break
4,V,give,founder
4,V,give,afford
4,V,give,open
4,V,give,yield
12,V,list,listing
12,V,list,tilt
12,V,list,inclination
12,V,list,lean
12,V,list,leaning
12,V,list,name
12,V,list,lean
12,V,list,heel
12,V,list,number
7,N,films,movie
7,N,films,film
7,N,films,picture
7,N,films,moving_picture
7,N,films,moving-picture_show
7,N,films,motion_picture
7,N,films,motion-picture_show
7,N,films,picture_show
7,N,films,pic
7,N,films,flick
7,N,films,film
7,N,films,cinema
7,N,films,celluloid
7,N,films,film
7,N,films,photographic_film
7,N,films,film
7,N,films,film
7,N,films,plastic_film
7,N,films,film
7,N,films,shoot
7,N,films,take
7,N,films,film
6,JJ,action,activity
6,JJ,action,activeness
6,JJ,action,military_action
6,JJ,action,natural_process
6,JJ,action,natural_action
6,JJ,action,activity
6,JJ,action,action_mechanism
6,JJ,action,legal_action
6,JJ,action,action_at_law
6,JJ,action,sue
6,JJ,action,litigate
6,JJ,action,process
6,JJ,action,carry_through
6,JJ,action,accomplish
6,JJ,action,execute
6,JJ,action,carry_out
6,JJ,action,fulfill
6,JJ,action,fulfil
5,V,is,be
5,V,is,be
5,V,is,be
5,V,is,exist
5,V,is,be
5,V,is,be
5,V,is,equal
5,V,is,be
5,V,is,constitute
5,V,is,represent
5,V,is,make_up
5,V,is,comprise
5,V,is,be
5,V,is,be
5,V,is,follow
5,V,is,embody
5,V,is,be
5,V,is,personify
5,V,is,be
5,V,is,be
5,V,is,live
5,V,is,be
5,V,is,cost
5,V,is,be
8,V,graded,rate
8,V,graded,rank
8,V,graded,range
8,V,graded,order
8,V,graded,grade
8,V,graded,place
8,V,graded,grade
8,V,graded,grade
8,V,graded,score
8,V,graded,mark
8,V,graded,grade
8,V,graded,ranked
8,V,graded,stratified
4,N,movies,movie
4,N,movies,film
4,N,movies,picture
4,N,movies,moving_picture
4,N,movies,moving-picture_show
4,N,movies,motion_picture
4,N,movies,motion-picture_show
4,N,movies,picture_show
4,N,movies,pic
4,N,movies,flick
11,N,kids,child
11,N,kids,kid
11,N,kids,youngster
11,N,kids,minor
11,N,kids,shaver
11,N,kids,nipper
11,N,kids,small_fry
11,N,kids,tiddler
11,N,kids,tike
11,N,kids,tyke
11,N,kids,fry
11,N,kids,nestling
11,N,kids,kid
11,N,kids,kidskin
11,N,kids,kyd
11,N,kids,kid
11,N,kids,thomas_kyd
11,N,kids,thomas_kid
11,N,kids,child
11,N,kids,kid
11,N,kids,kid
11,N,kids,pull_the_leg_of
11,N,kids,kid
11,N,kids,kid
11,N,kids,chaff
11,N,kids,jolly
11,N,kids,josh
11,N,kids,banter
12,N,games,game
12,N,games,game
12,N,games,game
12,N,games,game
12,N,games,game
12,N,games,game
12,N,games,game
12,N,games,plot
12,N,games,secret_plan
12,N,games,game
12,N,games,game
12,N,games,game
12,N,games,biz
12,N,games,game
12,N,games,bet_on
12,N,games,back
12,N,games,gage
12,N,games,stake
12,N,games,game
12,N,games,punt
1,JJ,complete,finish
1,JJ,complete,dispatch
1,JJ,complete,discharge
1,JJ,complete,nail
1,JJ,complete,fill_out
1,JJ,complete,fill_in
1,JJ,complete,make_out
1,JJ,complete,consummate
1,JJ,complete,accomplished
1,JJ,complete,arrant
1,JJ,complete,consummate
1,JJ,complete,double-dyed
1,JJ,complete,everlasting
1,JJ,complete,gross
1,JJ,complete,perfect
1,JJ,complete,pure
1,JJ,complete,sodding
1,JJ,complete,stark
1,JJ,complete,staring
1,JJ,complete,thoroughgoing
1,JJ,complete,utter
1,JJ,complete,unadulterated
1,JJ,complete,concluded
1,JJ,complete,ended
1,JJ,complete,over
1,JJ,complete,all_over
1,JJ,complete,terminated
11,N,documentaries,documentary
11,N,documentaries,docudrama
11,N,documentaries,documentary_film
11,N,documentaries,infotainment
11,N,sports,sport
11,N,sports,athletics
11,N,sports,sport
11,N,sports,sport
11,N,sports,summercater
11,N,sports,sport
11,N,sports,sport
11,N,sports,sportsman
11,N,sports,sportswoman
11,N,sports,mutant
11,N,sports,mutation
11,N,sports,variation
11,N,sports,sport
11,N,sports,fun
11,N,sports,play
11,N,sports,sport
11,N,sports,sport
11,N,sports,feature
11,N,sports,boast
11,N,sports,frolic
11,N,sports,lark
11,N,sports,rollick
11,N,sports,skylark
11,N,sports,disport
11,N,sports,sport
11,N,sports,cavort
11,N,sports,gambol
11,N,sports,frisk
11,N,sports,romp
11,N,sports,run_around
11,N,sports,lark_about
12,N,anime,zanzibar_copal
12,N,anime,gum_anime
11,N,documentary,docudrama
11,N,documentary,documentary_film
11,N,documentary,infotainment
11,N,documentary,documental
11,N,documentary,objective
7,N,actors,actor
7,N,actors,histrion
7,N,actors,player
7,N,actors,thespian
7,N,actors,role_player
